post_campaign	channel
campaign545	Display Ads
campaign546	Display Ads
campaign547	Display Ads
campaign548	Display Ads
campaign549	Display Ads
campaign550	Display Ads
campaign551	Display Ads
campaign552	Display Ads
campaign553	Display Ads
campaign554	Display Ads
campaign555	Display Ads
campaign556	Display Ads
campaign557	Display Ads
campaign558	Display Ads
campaign559	Display Ads
campaign560	Display Ads
campaign561	Display Ads
campaign562	Display Ads
campaign563	Display Ads
campaign564	Display Ads
campaign565	Display Ads
campaign566	Display Ads
campaign567	Display Ads
campaign568	Display Ads
campaign569	Display Ads
campaign570	Display Ads
campaign571	Display Ads
campaign572	Display Ads
campaign573	Display Ads
campaign574	Display Ads
campaign575	Display Ads
campaign576	Display Ads
campaign577	Display Ads
campaign578	Display Ads
campaign579	Display Ads
campaign580	Display Ads
campaign581	Display Ads
campaign582	Display Ads
campaign583	Display Ads
campaign584	Display Ads
campaign585	Display Ads
campaign586	Display Ads
campaign587	Email
campaign588	Email
campaign589	Email
campaign590	Email
campaign591	Email
campaign592	Email
campaign593	Email
campaign594	Email
campaign595	Email
campaign596	Email
campaign597	Email
campaign598	Email
campaign599	Email
campaign600	Email
campaign601	Email
campaign602	Email
campaign603	Email
campaign604	Email
campaign605	Email
campaign606	Email
campaign607	Email
campaign608	Email
campaign609	Email
campaign610	Email
campaign611	Email
campaign612	Email
campaign613	Email
campaign614	Email
campaign615	Email
campaign616	Email
campaign617	Email
campaign618	Email
campaign619	Email
campaign620	Email
campaign621	Email
campaign622	Email
campaign623	Email
campaign624	Email
campaign625	Email
campaign626	Email
campaign627	Email
campaign628	Email
campaign629	Email
campaign630	Email
campaign631	Email
campaign632	Email
campaign633	Email
campaign634	Email
campaign635	Email
campaign636	Email
campaign637	Email
campaign638	Email
campaign639	Email
campaign640	Email
campaign641	Email
campaign642	Email
campaign643	Email
campaign644	Email
campaign645	Email
campaign646	Email
campaign647	Email
campaign648	Email
campaign649	Email
campaign650	Email
campaign651	Email
campaign652	Email
campaign653	Email
campaign654	Email
campaign655	Email
campaign656	Email
campaign657	Email
campaign658	Email
campaign659	Email
campaign660	Email
campaign661	Email
campaign662	Email
campaign663	Email
campaign664	Email
campaign665	Email
campaign666	Email
campaign667	Email
campaign668	Email
campaign669	Email
campaign670	Email
campaign671	Email
campaign672	Email
campaign673	Email
campaign674	Email
campaign675	Email
campaign676	Email
campaign677	Email
campaign678	Email
campaign679	Email
campaign680	Email
campaign681	Email
campaign682	Email
campaign683	Email
campaign684	Email
campaign685	Email
campaign686	Email
campaign687	Email
campaign688	Email
campaign689	Email
campaign690	Email
campaign691	Email
campaign692	Email
campaign693	Email
campaign694	Email
campaign695	Email
campaign696	Email
campaign697	Email
campaign698	Email
campaign699	Email
campaign700	Email
campaign701	Email
campaign702	Email
campaign703	Email
campaign704	Email
campaign705	Email
campaign706	Email
campaign707	Email
campaign708	Email
campaign709	Email
campaign710	Email
campaign711	Email
campaign712	Email
campaign713	Email
campaign714	Email
campaign715	Email
campaign716	Email
campaign717	Email
campaign718	Email
campaign719	Email
campaign720	Email
campaign721	Email
campaign722	Email
campaign723	Email
campaign724	Email
campaign725	Email
campaign726	Email
campaign727	Email
campaign728	Email
campaign729	Email
campaign730	Email
campaign731	Email
campaign732	Email
campaign733	Email
campaign734	Email
campaign735	Email
campaign736	Email
campaign737	Email
campaign738	Email
campaign739	Email
campaign740	Email
campaign741	Email
campaign742	Email
campaign743	Email
campaign744	Email
campaign745	Email
campaign746	Email
campaign747	Email
campaign748	Email
campaign749	Email
campaign750	Email
campaign751	Email
campaign752	Email
campaign753	Email
campaign754	Email
campaign755	Email
campaign756	Email
campaign757	Email
campaign758	Email
campaign759	Email
campaign760	Email
campaign761	Email
campaign762	Email
campaign763	Email
campaign764	Email
campaign765	Email
campaign766	Email
campaign767	Email
campaign768	Email
campaign769	Email
campaign770	Email
campaign771	Email
campaign772	Email
campaign773	Email
campaign774	Email
campaign775	Email
campaign776	Email
campaign777	Email
campaign778	Email
campaign779	Email
campaign780	Email
campaign781	Email
campaign782	Email
campaign783	Email
campaign784	Email
campaign785	Email
campaign786	Email
campaign787	Email
campaign788	Email
campaign789	Email
campaign790	Email
campaign791	Email
campaign792	Email
campaign793	Email
campaign794	Email
campaign795	Email
campaign796	Email
campaign797	Email
campaign798	Email
campaign799	Email
campaign800	Email
campaign801	Email
campaign802	Email
campaign803	Email
campaign804	Email
campaign805	Email
campaign806	Email
campaign807	Email
campaign808	Email
campaign809	Email
campaign810	Email
campaign811	Email
campaign812	Email
campaign813	Email
campaign814	Email
campaign815	Email
campaign816	Email
campaign817	Email
campaign818	Email
campaign819	Email
campaign820	Email
campaign821	Email
campaign822	Email
campaign823	Email
campaign824	Email
campaign825	Email
campaign826	Email
campaign827	Email
campaign828	Email
campaign829	Email
campaign830	Email
campaign831	Email
campaign832	Email
campaign833	Email
campaign834	Email
campaign835	Email
campaign836	Email
campaign837	Email
campaign838	Email
campaign839	Email
campaign840	Email
campaign841	Email
campaign842	Email
campaign843	Email
campaign844	Email
campaign845	Email
campaign846	Email
campaign847	Email
campaign848	Email
campaign849	Email
campaign850	Email
campaign851	Email
campaign852	Email
campaign853	Email
campaign854	Email
campaign855	Email
campaign856	Email
campaign857	Email
campaign858	Email
campaign859	Email
campaign860	Email
campaign861	Email
campaign862	Email
campaign863	Email
campaign864	Email
campaign865	Email
campaign866	Email
campaign867	Email
campaign868	Email
campaign869	Email
campaign870	Email
campaign871	Email
campaign872	Email
campaign873	Email
campaign874	Email
campaign875	Email
campaign876	Email
campaign877	Email
campaign878	Email
campaign879	Email
campaign880	Email
campaign881	Email
campaign882	Email
campaign883	Email
campaign884	Email
campaign885	Email
campaign886	Email
campaign887	Email
campaign888	Email
campaign889	Email
campaign890	Email
campaign891	Email
campaign892	Email
campaign893	Email
campaign894	Email
campaign895	Email
campaign896	Email
campaign897	Email
campaign898	Email
campaign899	Email
campaign900	Email
campaign901	Email
campaign902	Email
campaign903	Email
campaign904	Email
campaign905	Email
campaign906	Email
campaign907	Email
campaign908	Email
campaign909	Email
campaign910	Email
campaign911	Email
campaign912	Email
campaign913	Email
campaign914	Email
campaign915	Email
campaign916	Email
campaign917	Email
campaign918	Email
campaign919	Email
campaign920	Email
campaign921	Email
campaign922	Email
campaign923	Email
campaign924	Email
campaign925	Email
campaign926	Email
campaign927	Email
campaign928	Email
campaign929	Email
campaign930	Email
campaign931	Email
campaign932	Email
campaign933	Email
campaign934	Email
campaign935	Email
campaign936	Email
campaign937	Email
campaign938	Email
campaign939	Email
campaign940	Email
campaign941	Email
campaign942	Email
campaign943	Email
campaign944	Email
campaign945	Email
campaign946	Email
campaign947	Email
campaign948	Email
campaign949	Email
campaign950	Email
campaign951	Email
campaign952	Email
campaign953	Email
campaign954	Email
campaign955	Email
campaign956	Email
campaign957	Email
campaign958	Email
campaign959	Email
campaign960	Email
campaign961	Email
campaign962	Email
campaign963	Email
campaign964	Email
campaign965	Email
campaign966	Email
campaign967	Email
campaign968	Email
campaign969	Email
campaign970	Email
campaign971	Email
campaign972	Email
campaign973	Email
campaign974	Email
campaign975	Email
campaign976	Email
campaign977	Email
campaign978	Email
campaign979	Email
campaign980	Email
campaign981	Email
campaign982	Email
campaign983	Email
campaign984	Email
campaign985	Email
campaign986	Email
campaign987	Email
campaign988	Email
campaign989	Email
campaign990	Email
campaign991	Email
campaign992	Email
campaign993	Email
campaign994	Email
campaign995	Email
campaign996	Email
campaign997	Email
campaign998	Email
campaign999	Email
campaign1000	Email
campaign1001	Email
campaign1002	Email
campaign1003	Email
campaign1004	Email
campaign1005	Email
campaign1006	Email
campaign1007	Email
campaign1008	Email
campaign1009	Email
campaign1010	Email
campaign1011	Email
campaign1012	Email
campaign1013	Email
campaign1014	Email
campaign1015	Email
campaign1016	Email
campaign1017	Email
campaign1018	Email
campaign1019	Email
campaign1020	Email
campaign1021	Email
campaign1022	Email
campaign1023	Email
campaign1024	Email
campaign1025	Email
campaign1026	Email
campaign1027	Email
campaign1028	Email
campaign1029	Email
campaign1030	Email
campaign1031	Email
campaign1032	Email
campaign1033	Email
campaign1034	Email
campaign1035	Email
campaign1036	Email
campaign1037	Email
campaign1038	Email
campaign1039	Email
campaign1040	Email
campaign1041	Email
campaign1042	Email
campaign1043	Email
campaign1044	Email
campaign1045	Email
campaign1046	Email
campaign1047	Email
campaign1048	Email
campaign1049	Email
campaign1050	Email
campaign1051	Email
campaign1052	Email
campaign1053	Email
campaign1054	Email
campaign1055	Email
campaign1056	Email
campaign1057	Email
campaign1058	Email
campaign1059	Email
campaign1060	Email
campaign1061	Email
campaign1062	Email
campaign1063	Email
campaign1064	Email
campaign1065	Email
campaign1066	Email
campaign1067	Email
campaign1068	Email
campaign1069	Email
campaign1070	Email
campaign1071	Email
campaign1072	Email
campaign1073	Email
campaign1074	Email
campaign1075	Email
campaign1076	Email
campaign1077	Email
campaign1078	Email
campaign1079	Email
campaign1080	Email
campaign1081	Email
campaign1082	Email
campaign1083	Email
campaign1084	Email
campaign1085	Email
campaign1086	Email
campaign1087	Email
campaign1088	Email
campaign1089	Email
campaign1090	Email
campaign1091	Email
campaign1092	Email
campaign1093	Email
campaign1094	Email
campaign1095	Email
campaign1096	Email
campaign1097	Email
campaign1098	Email
campaign1099	Email
campaign1100	Email
campaign1101	Email
campaign1102	Email
campaign1103	Email
campaign1104	Email
campaign1105	Email
campaign1106	Email
campaign1107	Email
campaign1108	Email
campaign1109	Email
campaign1110	Email
campaign1111	Email
campaign1112	Email
campaign1113	Email
campaign1114	Email
campaign1115	Email
campaign1116	Email
campaign1117	Email
campaign1118	Email
campaign1119	Email
campaign1120	Email
campaign1121	Email
campaign1122	Email
campaign1123	Email
campaign1124	Email
campaign1125	Email
campaign1126	Email
campaign1127	Email
campaign1128	Email
campaign1129	Email
campaign1130	Email
campaign1131	Email
campaign1132	Email
campaign1133	Email
campaign1134	Email
campaign1135	Email
campaign1136	Email
campaign1137	Email
campaign1138	Email
campaign1139	Email
campaign1140	Email
campaign1141	Email
campaign1142	Email
campaign1143	Email
campaign1144	Email
campaign1145	Email
campaign1146	Email
campaign1147	Email
campaign1148	Email
campaign1149	Email
campaign1150	Email
campaign1151	Email
campaign1152	Email
campaign1153	Email
campaign1154	Email
campaign1155	Email
campaign1156	Email
campaign1157	Email
campaign1158	Email
campaign1159	Email
campaign1160	Email
campaign1161	Email
campaign1162	Email
campaign1163	Email
campaign1164	Email
campaign1165	Email
campaign1166	Email
campaign1167	Email
campaign1168	Email
campaign1169	Email
campaign1170	Email
campaign1171	Email
campaign1172	Email
campaign1173	Email
campaign1174	Email
campaign1175	Email
campaign1176	Email
campaign1177	Email
campaign1178	Email
campaign1179	Email
campaign1180	Email
campaign1181	Email
campaign1182	Email
campaign1183	Email
campaign1184	Email
campaign1185	Email
campaign1186	Email
campaign1187	Email
campaign1188	Email
campaign1189	Email
campaign1190	Email
campaign1191	Email
campaign1192	Email
campaign1193	Email
campaign1194	Email
campaign1195	Email
campaign1196	Email
campaign1197	Email
campaign1198	Email
campaign1199	Email
campaign1200	Email
campaign1201	Email
campaign1202	Email
campaign1203	Email
campaign1204	Email
campaign1205	Email
campaign1206	Email
campaign1207	Email
campaign1208	Email
campaign1209	Email
campaign1210	Email
campaign1211	Email
campaign1212	Email
campaign1213	Email
campaign1214	Email
campaign1215	Email
campaign1216	Email
campaign1217	Email
campaign1218	Email
campaign1219	Email
campaign1220	Email
campaign1221	Email
campaign1222	Email
campaign1223	Email
campaign1224	Email
campaign1225	Email
campaign1226	Email
campaign1227	Email
campaign1228	Email
campaign1229	Email
campaign1230	Email
campaign1231	Email
campaign1232	Email
campaign1233	Email
campaign1234	Email
campaign1235	Email
campaign1236	Email
campaign1237	Email
campaign1238	Email
campaign1239	Email
campaign1240	Email
campaign1241	Email
campaign1242	Email
campaign1243	Email
campaign1244	Email
campaign1245	Email
campaign1246	Email
campaign1247	Email
campaign1248	Email
campaign1249	Email
campaign1250	Email
campaign1251	Email
campaign1252	Email
campaign1253	Email
campaign1254	Email
campaign1255	Email
campaign1256	Email
campaign1257	Email
campaign1258	Email
campaign1259	Email
campaign1260	Email
campaign1261	Email
campaign1262	Email
campaign1263	Email
campaign1264	Email
campaign1265	Email
campaign1266	Email
campaign1267	Email
campaign1268	Email
campaign1269	Email
campaign1270	Email
campaign1271	Email
campaign1272	Email
campaign1273	Email
campaign1274	Email
campaign1275	Email
campaign1276	Email
campaign1277	Email
campaign1278	Email
campaign1279	Email
campaign1280	Email
campaign1281	Email
campaign1282	Email
campaign1283	Email
campaign1284	Email
campaign1285	Email
campaign1286	Email
campaign1287	Email
campaign1288	Email
campaign1289	Email
campaign1290	Email
campaign1291	Email
campaign1292	Email
campaign1293	Email
campaign1294	Email
campaign1295	Email
campaign1296	Email
campaign1297	Email
campaign1298	Email
campaign1299	Email
campaign1300	Email
campaign1301	Email
campaign1302	Email
campaign1303	Email
campaign1304	Email
campaign1305	Email
campaign1306	Email
campaign1307	Email
campaign1308	Email
campaign1309	Email
campaign1310	Email
campaign1311	Email
campaign1312	Email
campaign1313	Email
campaign1314	Email
campaign1315	Email
campaign1316	Email
campaign1317	Email
campaign1318	Email
campaign1319	Email
campaign1320	Email
campaign1321	Email
campaign1322	Email
campaign1323	Email
campaign1324	Email
campaign1325	Email
campaign1326	Email
campaign1327	Email
campaign1328	Email
campaign1329	Email
campaign1330	Email
campaign1331	Email
campaign1332	Email
campaign1333	Email
campaign1334	Email
campaign1335	Email
campaign1336	Email
campaign1337	Email
campaign1338	Email
campaign1339	Email
campaign1340	Email
campaign1341	Email
campaign1342	Email
campaign1343	Email
campaign1344	Email
campaign1345	Email
campaign1346	Email
campaign1347	Email
campaign1348	Email
campaign1349	Email
campaign1350	Email
campaign1351	Email
campaign1352	Email
campaign1353	Email
campaign1354	Email
campaign1355	Email
campaign1356	Email
campaign1357	Email
campaign1358	Email
campaign1359	Email
campaign1360	Email
campaign1361	Email
campaign1362	Email
campaign1363	Email
campaign1364	Email
campaign1365	Email
campaign1366	Email
campaign1367	Email
campaign1368	Email
campaign1369	Email
campaign1370	Email
campaign1371	Email
campaign1372	Email
campaign1373	Email
campaign1374	Email
campaign1375	Email
campaign1376	Email
campaign1377	Email
campaign1378	Email
campaign1379	Email
campaign1380	Email
campaign1381	Email
campaign1382	Email
campaign1383	Email
campaign1384	Email
campaign1385	Email
campaign1386	Email
campaign1387	Email
campaign1388	Email
campaign1389	Email
campaign1390	Email
campaign1391	Email
campaign1392	Email
campaign1393	Email
campaign1394	Email
campaign1395	Email
campaign1396	Email
campaign1397	Email
campaign1398	Email
campaign1399	Email
campaign1400	Email
campaign1401	Email
campaign1402	Email
campaign1403	Email
campaign1404	Email
campaign1405	Email
campaign1406	Email
campaign1407	Email
campaign1408	Email
campaign1409	Email
campaign1410	Email
campaign1411	Email
campaign1412	Email
campaign1413	Email
campaign1414	Email
campaign1415	Email
campaign1416	Email
campaign1417	Email
campaign1418	Email
campaign1419	Email
campaign1420	Email
campaign1421	Email
campaign1422	Email
campaign1423	Email
campaign1424	Email
campaign1425	Email
campaign1426	Email
campaign1427	Email
campaign1428	Email
campaign1429	Email
campaign1430	Email
campaign1431	Email
campaign1432	Email
campaign1433	Email
campaign1434	Email
campaign1435	Email
campaign1436	Email
campaign1437	Email
campaign1438	Email
campaign1439	Email
campaign1440	Email
campaign1441	Email
campaign1442	Email
campaign1443	Email
campaign1444	Email
campaign1445	Email
campaign1446	Email
campaign1447	Email
campaign1448	Email
campaign1449	Email
campaign1450	Email
campaign1451	Email
campaign1452	Email
campaign1453	Email
campaign1454	Email
campaign1455	Email
campaign1456	Email
campaign1457	Email
campaign1458	Email
campaign1459	Email
campaign1460	Email
campaign1461	Email
campaign1462	Email
campaign1463	Email
campaign1464	Email
campaign1465	Email
campaign1466	Email
campaign1467	Email
campaign1468	Email
campaign1469	Email
campaign1470	Email
campaign1471	Email
campaign1472	Email
campaign1473	Email
campaign1474	Email
campaign1475	Email
campaign1476	Email
campaign1477	Email
